cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
222,0.17,0.59,43.1965,222,7482.3,-0.0457371,19.8695,9.71315,121.917,0.0628726,38.7827,500.0,0.274609,-1.60239,-6.10529,-0.796049,-8.03171,-125.339,4645.94,8.37406,4390.33,6362.02,1.06384,-0.813165,-4.52683,-0.00682152,-7.24248,0.607232,4745.77,17.4502,4490.17,0.506451,0.993606,0.0071081,9370.65,-0.00152134,0.672168,9.98897,8.60641,122.259,82.9894,0.585976,9.99447,9.39671,121.421,130.8,0.837363,-47.8101
223,0.17,0.59,43.1465,223,12939.4,-0.223107,30.408,-10.1395,121.666,0.196049,-436.036,475.63,0.38911,-2.70875,-3.73563,2.54698,-3.32291,-78.2741,8070.4,27.0667,6176.52,12819.7,0.881981,-2.21588,-2.74989,3.03985,-2.83004,0.290164,8132.75,32.7348,6238.87,0.558615,0.993005,0.00957283,14558.8,-0.00126912,1.09151,10.3411,8.7684,121.98,82.7515,0.812352,10.1105,9.40197,121.109,130.644,0.870333,-47.8922
224,0.17,0.59,43.3265,224,13683.6,0.00301239,32.0227,-9.9585,121.854,-0.0187799,2.23995,500.0,-1.89481,-2.21573,-7.56054,1.02929,-2.58689,-99.463,8386.07,37.3212,6494.8,10382.5,-1.26852,-1.58944,-6.30795,1.65558,-1.9606,0.333967,8465.3,44.5236,6574.02,0.555592,0.99088,0.0123222,15236.5,-0.00115051,1.1281,10.4173,8.76778,122.095,82.7809,0.855515,9.98609,9.43788,121.418,130.628,0.677573,-47.8474
225,0.17,0.59,43.0065,225,12991.7,-0.0289274,30.9054,9.91849,121.642,0.00203666,-4.89985,500.0,-1.93994,-0.668455,-5.36545,-2.32323,-3.946,-60.5608,8005.01,28.3148,6196.33,9979.05,-1.5586,-0.28712,-4.60278,-1.9419,-3.56466,0.614994,8053.25,32.7002,6244.57,0.555966,0.992944,0.00955417,14485.2,-0.00115388,1.09464,10.1745,8.82336,121.93,82.7195,0.816408,10.0039,9.4235,121.147,130.469,0.782507,-47.7492
226,0.17,0.59,43.3865,226,12960.7,-0.258068,30.6446,10.1416,121.58,0.0954225,58.3546,57.7265,-2.88544,-0.786097,-3.90317,-1.89368,-2.44872,-79.9048,7888.16,39.2325,6337.2,10298.4,-2.3823,-0.282958,-2.89689,-1.39054,-1.94558,0.674443,7951.8,45.0186,6400.84,0.546716,0.99019,0.0127902,14544.7,-0.00119047,1.05891,10.2989,8.86523,121.868,83.3677,0.816041,10.1174,9.52987,121.099,131.225,0.769122,-47.8576
227,0.17,0.59,43.2565,227,12342.4,-0.483274,30.0159,10.039,121.765,0.166526,283.235,6.0912e-13,0.131896,-0.566218,-6.82502,-0.69868,-0.812695,-113.243,7672.68,36.8173,6000.03,11344.7,0.844956,0.146843,-5.3989,0.0143807,-0.0996347,-0.201797,7762.88,45.0174,6090.23,0.553076,0.989954,0.0134335,14035.8,-0.00127106,1.06349,10.1279,8.73784,122.037,82.8615,0.792148,9.99348,9.44753,121.228,130.601,0.808863,-47.7393
228,0.17,0.59,43.1565,228,11639.7,-0.0355672,28.7946,9.69903,121.81,0.00118492,-123.823,500.0,-3.6832,2.0666,-2.40719,-0.672419,-1.84902,-73.939,7287.54,17.2381,5740.7,9096.24,-3.21762,2.53217,-1.47604,-0.206845,-1.38344,0.606576,7346.43,22.5923,5799.59,0.551533,0.994647,0.00712477,13320.0,-0.0013642,1.05504,9.97786,8.52342,122.126,82.7836,0.77917,9.92155,9.29543,121.357,130.558,0.769192,-47.7744
229,0.17,0.59,43.2165,229,11320.2,-0.255788,27.8198,9.88141,121.697,0.114196,-55.7878,491.18,-2.44458,0.97734,-3.38674,-1.75498,-2.91285,-75.479,7044.11,27.5225,5548.64,9156.26,-1.96931,1.45261,-2.4362,-1.27971,-2.43758,0.634763,7104.23,32.9882,5608.76,0.551517,0.991939,0.0107183,12881.3,-0.00124059,0.994831,9.97112,8.74614,122.015,82.6157,0.73172,10.0254,9.43265,121.147,130.467,0.867805,-47.8514
230,0.17,0.59,43.2465,230,12987.6,-0.0688651,30.6846,9.92521,121.452,0.011758,-17.6173,499.999,-0.881884,-0.537201,-4.00671,0.864637,-0.1836,-88.0776,7746.35,27.056,6421.07,9920.88,-0.327282,0.0174007,-2.89751,1.41924,0.371002,-1.0446,7816.5,33.4339,6491.23,0.538977,0.99257,0.00939882,14502.5,-0.00116857,1.06535,10.2431,8.73554,121.72,82.53,0.840833,10.1066,9.42121,120.936,130.202,0.783687,-47.6723
231,0.17,0.59,43.2365,231,12161.8,-0.0325538,30.0853,9.74406,121.579,0.0937264,21.5427,500.0,-1.10722,-1.01124,-5.84717,-1.85064,-4.13764,-89.7396,7520.87,18.7609,6109.36,9608.82,-0.542153,-0.446176,-4.71704,-1.28558,-3.57257,0.553459,7592.35,25.2592,6180.84,0.543919,0.994212,0.00747187,13958.6,-0.0013963,1.09112,10.0024,8.43328,121.838,82.6888,0.841364,9.88949,9.18074,121.036,130.453,0.801115,-47.7647
232,0.17,0.59,43.1665,232,10490.5,-0.0220409,25.7064,9.84009,121.762,0.00836609,-19.8154,500.0,-0.377618,-0.742068,-5.55041,-0.869645,-1.22628,-83.2625,6405.05,22.2656,5407.7,8239.86,0.146663,-0.217787,-4.50185,-0.345363,-0.701999,0.199007,6471.37,28.2949,5474.02,0.5344,0.992407,0.00943192,12109.6,-0.001327,0.901365,10.0604,8.71705,122.033,82.478,0.708382,10.151,9.44802,121.314,130.353,0.719238,-47.8751
233,0.17,0.59,43.1265,233,13491.9,-0.146031,31.5121,10.1461,121.512,0.0375009,177.256,500.0,-1.74643,0.0612643,0.170881,-0.563232,-0.204513,-76.707,7904.15,36.419,6715.99,10624.5,-1.26343,0.544268,1.13689,-0.0802282,0.27849,-0.845634,7965.25,41.9735,6777.09,0.532947,0.990863,0.0112803,14945.7,-0.00113064,1.0743,10.2385,8.84825,121.829,82.3962,0.859414,10.2456,9.50774,121.019,130.026,0.810261,-47.6302
234,0.17,0.59,43.0665,234,12793.0,-0.0221395,30.5903,9.8647,121.732,-0.0177863,18.6971,500.0,-1.75636,-0.664282,-2.53678,-0.530406,-4.1122,-90.3513,7838.51,33.7133,6222.92,9834.23,-1.18744,-0.0953642,-1.39894,0.0385117,-3.54329,0.773873,7910.47,40.2559,6294.88,0.54956,0.991173,0.0116431,14394.2,-0.00123457,1.08776,10.135,8.76347,122.015,82.6503,0.819923,9.9597,9.46665,121.311,130.449,0.704606,-47.7989
235,0.17,0.59,43.1765,235,8167.18,-0.295427,22.0001,9.58657,121.578,1.07124,-602.915,425.831,-0.209167,0.677682,-2.18237,-1.17844,-4.44689,-56.5094,5093.29,4.76883,4571.73,27890.9,0.146658,1.03351,-1.47072,-0.822615,-4.09107,0.717399,5138.3,8.86081,4616.74,0.519359,0.996991,0.00352306,9893.54,-0.00153819,0.75365,9.82596,8.60197,121.939,82.8498,0.63663,9.80714,9.24872,121.04,130.64,0.89864,-47.7903
236,0.17,0.59,43.1865,236,7677.77,-0.231646,19.9702,9.66648,121.688,-0.0577028,113.082,0.0750706,3.21259,1.72709,-6.04486,2.32933,-6.4833,-133.952,4632.31,25.167,4313.06,6496.56,4.05605,2.57055,-4.35795,3.17279,-5.63985,-20.9653,4739.01,34.8668,4419.76,0.510045,0.987288,0.0143239,9291.36,-0.00123141,0.649478,9.87123,8.89601,122.007,82.4558,0.572686,9.95499,9.49896,121.303,130.27,0.703893,-47.814
237,0.17,0.59,43.2665,237,12613.1,-0.0213955,30.214,9.82399,121.662,0.0719122,-34.0956,499.946,-0.234826,-1.28759,3.94279,-1.07786,-2.80616,-41.0233,7486.19,20.1885,6333.03,9742.35,0.0234867,-1.02928,4.45942,-0.819545,-2.54785,-50.7169,7518.87,23.1591,6365.71,0.534179,0.994639,0.00665716,14075.5,-0.00109385,1.05048,9.99562,8.70365,121.991,82.733,0.84095,9.91892,9.39541,121.072,130.391,0.918354,-47.6578
238,0.17,0.59,43.2065,238,8943.96,-0.0907156,22.7757,9.55412,121.713,0.339024,-61.3786,363.65,0.3312,-3.84495,-4.14259,0.227823,-2.65208,-82.9532,5517.15,21.382,4639.0,7761.07,0.853534,-3.32261,-3.09792,0.750158,-2.12975,0.554037,5583.22,27.3889,4705.08,0.535332,0.991488,0.0106094,10429.5,-0.00116667,0.802091,9.94504,8.55698,122.007,82.928,0.645254,9.71849,9.17712,121.195,130.8,0.812236,-47.8725
239,0.17,0.59,43.2265,239,12291.5,-0.235139,29.8031,9.8532,121.647,0.0377274,569.017,236.439,-0.19307,-0.443742,-6.80675,-2.58627,-0.728033,-51.8029,7547.71,30.0819,5873.71,10258.3,0.133119,-0.117554,-6.15437,-2.26008,-0.401845,0.300698,7588.98,33.8331,5914.97,0.554693,0.992259,0.0104268,13681.4,-0.00112851,1.06566,10.0441,8.67726,121.955,82.7268,0.808589,9.83845,9.22945,120.986,130.336,0.969154,-47.6093
240,0.17,0.59,43.1965,240,7599.94,-0.233791,19.7388,9.7065,121.764,0.0756606,124.612,432.007,0.50451,0.0551154,-2.1806,-1.10777,-4.27893,-90.9883,4631.53,13.9542,4236.55,6543.96,1.07744,0.628044,-1.03474,-0.53484,-3.70601,0.710165,4704.0,20.5429,4309.02,0.514532,0.992416,0.0087056,9142.3,-0.00123106,0.666921,9.88167,8.6565,122.084,82.6998,0.571876,9.92285,9.37157,121.233,130.627,0.850733,-47.9269
241,0.17,0.59,43.1465,241,12385.0,-0.00459043,29.1355,9.89534,121.629,-0.0181832,3.73834,500.0,2.49898,1.11861,-0.436184,2.4014,0.347857,-38.4668,7628.03,37.3821,5792.04,9387.52,2.7412,1.36083,0.0482465,2.64362,0.590072,0.993466,7658.67,40.1676,5822.68,0.560827,0.990905,0.0125483,13656.0,-0.00100411,1.05779,10.1978,8.66691,121.851,82.5278,0.773545,10.0232,9.31566,121.219,130.201,0.63141,-47.6727
242,0.17,0.59,43.3265,242,12758.2,-0.0167427,29.9972,9.97357,121.475,0.0207879,-24.6367,1.72971e-12,-4.80014,-2.27948,0.00281294,-1.59992,-0.597098,-75.4749,7645.26,37.6365,6286.44,9755.95,-4.32489,-1.80424,0.953304,-1.12467,-0.121853,1.14844,7705.37,43.1018,6346.56,0.541019,0.990306,0.0123558,14242.3,-0.0011857,1.06051,10.1816,8.73557,121.726,82.2521,0.81453,10.1337,9.50902,121.015,130.086,0.710894,-47.8336
243,0.17,0.59,43.0065,243,12611.6,0.00164527,30.1599,-9.81178,121.521,-0.019338,12.7311,500.0,-2.58725,3.89915,-4.89883,0.138402,-2.32942,-77.2001,7790.94,34.7683,6060.9,9641.25,-2.10114,4.38526,-3.92661,0.624511,-1.84331,-0.372322,7852.43,40.3586,6122.39,0.554609,0.991086,0.0119974,14158.5,-0.00120202,1.10063,10.1297,8.58255,121.801,82.8784,0.821449,9.98433,9.21251,121.019,130.683,0.782284,-47.8048
244,0.17,0.59,43.3865,244,12430.5,-0.0118551,30.0881,9.74417,121.655,-0.0155035,-13.0264,500.0,-1.24428,-1.93877,-4.6547,-3.16951,-3.37352,-54.5672,7800.4,30.4327,5808.61,9550.68,-0.900687,-1.59518,-3.96751,-2.82592,-3.02993,0.677941,7843.86,34.384,5852.08,0.565466,0.992387,0.0107074,13871.5,-0.00113498,1.10153,10.0273,8.67686,121.856,82.1859,0.77963,9.77564,9.48057,121.133,129.791,0.723513,-47.6051
245,0.17,0.59,43.2565,245,12864.6,-0.0819495,29.5307,10.0962,121.642,-0.00172095,58.3365,499.901,-0.430849,-0.925298,-4.20854,-3.30775,-1.63335,-52.9807,7767.67,30.5735,6069.92,9709.0,-0.097244,-0.591693,-3.54133,-2.97414,-1.29974,0.583576,7809.87,34.4099,6112.12,0.553681,0.992349,0.0102642,14105.4,-0.000911424,1.02934,10.2758,8.98325,121.832,82.8203,0.761625,10.1783,9.71252,121.246,130.744,0.585871,-47.9239
246,0.17,0.59,43.1565,246,12351.3,-0.0140597,29.4015,-9.85122,121.631,-0.0712087,158.44,496.794,-0.988626,-0.909742,-2.08286,-4.32893,-7.05518,-55.3858,7422.54,39.3583,6064.97,9796.03,-0.639876,-0.560992,-1.38536,-3.98018,-6.70643,0.895624,7466.66,43.3689,6109.09,0.542674,0.989938,0.0129084,13759.0,-0.00114828,1.04103,10.1769,8.66805,121.802,82.3094,0.808153,9.9211,9.41333,121.114,129.971,0.688321,-47.6619
247,0.17,0.59,43.2165,247,10613.2,-0.202917,26.1922,9.77821,121.532,0.153248,-558.079,16.9192,0.799327,-4.34418,-5.08432,-3.44561,-4.52319,-46.1926,6554.96,27.3506,5194.81,11121.4,1.09019,-4.05332,-4.50259,-3.15474,-4.23233,0.696852,6591.76,30.6956,5231.6,0.550216,0.991917,0.0106927,11980.3,-0.00111277,0.955133,10.0224,8.42278,121.772,82.627,0.724073,9.70063,9.23783,120.945,130.259,0.826216,-47.6319
248,0.17,0.59,43.2465,248,13125.9,-0.21899,31.0206,9.99171,121.775,0.132706,-75.9505,71.6122,0.716451,-1.35025,-2.75378,-1.93053,-3.39202,-55.0955,8009.67,20.7713,6252.55,10418.0,1.06337,-1.00332,-2.05994,-1.58361,-3.0451,0.689234,8053.56,24.7609,6296.43,0.553932,0.994648,0.00719202,14538.9,-0.00104746,1.11701,10.1487,8.62362,121.994,82.9237,0.83214,10.0248,9.30751,121.397,130.629,0.59689,-47.7057
249,0.17,0.59,43.2365,249,13040.7,-0.213476,30.7407,-10.0022,121.856,-0.164662,247.283,323.159,-2.08104,-0.0501049,-6.38832,-2.90805,-0.508499,-78.0203,7783.29,37.2749,6307.89,11334.8,-1.58977,0.441168,-5.40577,-2.41678,-0.0172259,0.398582,7845.44,42.9246,6370.04,0.544573,0.990516,0.0122608,14406.6,-0.00100974,1.07011,10.1165,8.80623,122.254,83.1348,0.834143,9.94083,9.46679,121.293,131.017,0.960883,-47.8826
250,0.17,0.59,43.1665,250,10035.6,-0.0204041,23.9014,9.85971,121.42,-0.00472752,-4.11382,500.0,0.120912,-0.113161,-3.67314,-4.57321,-0.987652,-129.958,5831.08,26.7792,5265.79,7672.17,0.939224,0.705151,-2.03652,-3.7549,-0.16934,0.528189,5934.6,36.1898,5369.31,0.517628,0.989441,0.0122637,11465.0,-0.000994879,0.79421,10.2364,8.81309,121.829,82.6918,0.678249,9.95184,9.65222,120.801,130.688,1.02791,-47.9966
251,0.17,0.59,43.1265,251,13622.2,-0.00687943,30.8379,10.1281,121.518,-0.00439042,-0.0707183,500.0,-0.466652,-1.25423,-4.06467,1.61398,-3.26022,-84.3968,8207.18,39.1537,6364.61,10167.4,0.0647718,-0.722802,-3.00182,2.1454,-2.7288,0.292565,8274.41,45.2651,6431.84,0.555359,0.990517,0.0127982,14899.2,-0.000906967,1.09514,10.4476,8.80118,121.784,82.4441,0.81678,10.1044,9.55199,121.051,129.993,0.733503,-47.5485
252,0.17,0.59,43.0665,252,13397.3,-0.161828,30.5336,10.2025,121.666,-0.00542338,120.616,489.084,-2.07717,-3.8912,-3.35165,0.708576,-3.7571,-85.4152,7960.33,37.6558,6392.76,10162.2,-1.53933,-3.35336,-2.27598,1.24641,-3.21926,0.751029,8028.37,43.8409,6460.8,0.54678,0.990534,0.0123456,14683.0,-0.000917325,1.03987,10.3651,9.04136,121.977,82.7791,0.81066,10.1983,9.61242,121.047,130.742,0.930571,-47.9632
253,0.17,0.59,43.1765,253,8515.24,-0.0218861,21.3196,9.71067,121.777,-0.0100189,21.6076,496.914,2.07186,-2.91692,-2.48799,-1.65837,0.185719,-59.6601,5122.3,20.6663,4566.47,6746.47,2.44752,-2.54125,-1.73667,-1.28271,0.561383,0.319415,5169.82,24.9864,4613.99,0.521034,0.991613,0.00987713,9922.23,-0.00117271,0.738518,9.93073,8.59007,122.046,82.8038,0.605826,9.99896,9.51469,121.232,130.707,0.813857,-47.9034
